ábaco,abacus
abren,they open
acaso,perhaps
acata,you comply with
acato,I comply with
acera,sidewalk
acero,steel
acoja,you receive
acojo,I receive
acres,acres
actas,minutes
actúa,you act
actúo,I act
acuñe,you mint
adobe,adobe
aduce,you adduce
aérea,aerial
ágape,banquet
ágata,agate
ágora,agora
agote,you exhaust
aguda,sharp
aires,winds
ajuar,furnishings
alces,moose
alcor,hill
alias,alias
aloja,you accommodate
altos,tall
amaga,you show signs of
amaño,ruse
ámbar,amber
amena,enjoyable
ánade,duck
ananá,pineapple
anexo,annex
ángel,angel
ánima,soul
añoso,old
apela,you appeal
ápice,tip
apnea,apnea
apoca,you reduce
apodo,nickname
apuro,predicament
arana,trick
araña,spider
arces,maples
arcón,large chest
arcos,arches
ardor,burning
arduo,arduous
arena,sand
arepa,arepa
arpas,harps
arras,coins
arreo,drove
asilo,refuge
asomo,trace
astil,handle
ataco,I attack
atado,tied
atajo,shortcut
ático,attic apartment
aupar,help up
áureo,golden
aviar,avian
azota,you whip
azote,whip
babel,babel
bacán,awesome
bajel,ship
balón,ball
banal,banal
baños,"bathrooms, baths"
barón,baron
batas,bathrobes
batel,skiff
bates,bats
bayas,berries
beato,blessed
bebes,"you drink, babies"
bedel,porter
besos,kisses
betún,shoe polish
bidón,drum
birla,bowling pin
bodas,weddings
bonos,vouchers
boyas,buoys
bozal,muzzle
brida,bridle
broca,bit
budín,pudding
burla,taunt
busca,search
cabal,upright
cafés,coffees
caída,fall
cajas,boxes
calar,soak
calma,calm
canal,channel
canas,gray hairs
canon,canon
cansa,you tire
cariz,look
casal,country house
casar,marry
casco,helmet
casta,lineage
catan,they taste
catar,taste
catre,cot
cauto,cautious
cejas,eyebrows
celar,watch over
cerda,bristle
cerdo,pig
cesto,basket
chapa,sheet
chile,chili
china,pebble
cieno,mud
cirro,cirrus
clase,class
clima,climate
cloro,chlorine
colas,tails
colmo,height
copar,make a clean sweep
copas,glasses
copos,flakes
coral,choral
Corán,Koran
Corea,Korea
corre,you run
corza,roe deer
craso,gross
creer,believe
crema,cream
criba,sieve
cromo,chrome
cruje,you creak
cubil,den
cuida,you take care of
cunas,cradles
cupón,coupon
dalia,dahlia
daños,damages
datar,date
datos,data
deben,they owe
debes,you owe
densa,dense
diosa,goddess
docto,scholar
doler,hurt
domar,tame
donar,donate
dotes,talent
draga,dredge
drena,you drain
echar,throw
edita,you publish
educa,you bring up
ejote,green bean
eleva,you lift
elige,you choose
elote,corncob
eluda,you elude
email,email
emana,you emanate
emite,you emit
enano,little person
enema,enema
enojo,anger
entra,you enter
entre,between
entro,I enter
envés,back
envío,delivery
equis,X
erguí,I raised
erizo,hedgehog
eroga,you distribute
errar,miss
error,mistake
esmog,smog
esnob,snob
espía,spy
estar,be
estoy,I am
estro,inspiration
etapa,stage
etnia,ethnic group
evade,you evade
evita,you avoid
evoca,you evoke
exige,you demand
exime,you exempt
extra,extra
fácil,easy
faena,task
fajar,beat up
falaz,"false, untrue"
falda,skirt
fallo,mistake
falso,"false, untrue"
fango,mud
fardo,bale
farol,lantern
faros,lighthouses
farsa,farce
fases,phases
fasto,pomp
fatal,terrible
fauna,fauna
favor,favor
fecha,date
feliz,happy
feria,fair
feroz,fierce
fibra,fiber
ficha,index card
fijar,fix
final,final
finca,property
firma,signature
fisga,you pry into
flaco,thin
fleco,loose end
flojo,loose
flota,fleet
flujo,flow
fobia,phobia
folio,sheet
fondo,bottom
forma,form
forro,lining
fósil,fossil
frase,sentence
freír,fry
freno,brake
fruto,fruit
fuego,fire
fuera,outside
fugar,chase away
funda,case
furor,fury
fusta,riding crop
fútil,futile
gabán,overcoat
gafar,jinx
gafas,glasses
gaita,bagpipes
galán,handsome man
galas,clothes
gallo,rooster
ganar,win
ganas,desire
ganga,bargain
gañir,yelp
ganso,goose
garra,claw
garza,heron
gasas,gauzes
gasto,spending
gemas,gems
gemir,moan
genio,genius
gente,people
gesto,gesture
girar,turn
globo,balloon
gnomo,gnome
gofre,waffle
goles,goals
golfo,gulf
golpe,hit
gordo,fat
gorra,cap
gorro,hat
gotas,drops
gozar,enjoy oneself
grada,step
grado,degree
gramo,gram
grano,grain
grasa,fat
grato,pleasant
grava,gravel
grave,serious
greña,tangle
grifo,faucet
grito,shout
gruño,I growl
grupo,group
guapo,handsome
guiar,guide
guiso,stew
gusto,taste
haber,have
hábil,skillful
habla,speech
hacer,do
hacha,ax
hacia,toward
hadas,fairies
halar,pull
halla,you find
harto,fed up
hasta,until
hecho,fact
heder,stink
helar,freeze
heñir,knead
herir,wound
héroe,hero
hielo,ice
himno,anthem
hipar,hiccup
hobby,hobby
hogar,home
hondo,deep
hongo,fungus
horda,horde
hotel,hotel
hucha,cash box
hueco,hole
huele,you smell
hueso,bone
huevo,egg
huida,escape
humor,mood
hunde,you sink
hurón,ferret
hurta,you steal
hurto,theft
icono,icon
ideal,ideal
idear,devise
ideas,ideas
igual,equal
ileso,unharmed
iluso,naive
imita,you imitate
impar,odd
impío,impious
islas,islands
istmo,isthmus
izado,hoisting
jabón,soap
jadeo,panting
jalar,pull
jaleo,racket
jamar,stuff oneself with
jamás,never
jamón,ham
jaque,check
jarra,pitcher
jarro,pitcher
jaula,cage
jefes,folks
jején,gnat
jerga,jargon
joven,young
judío,Jewish
juega,you play
juego,game
jugar,play
junto,together
jurar,swear
justo,fair
juzga,you judge
juzgo,I judge
karma,karma
kilos,kilos
koala,koala
labio,lip
labor,work
lacra,blot
lados,sides
lagar,winepress
laico,lay
lamer,lick
lanza,lance
lanzo,I throw
lápiz,pencil
lapso,lapse
lares,home
larga,high beam
largo,long
larva,larva
lasca,slice
latir,beat
latón,brass
lauro,laurel
lavar,wash
laxar,loosen
lazos,bows
leche,milk
lecho,bed
leeré,I will read
legal,legal
legar,bequeath
leído,well-read
lejos,far away
lémur,lemur
lente,lens
lento,slow
leona,lioness
letal,lethal
letra,letter
levar,weigh
leyes,laws
liado,busy
libar,sip
libra,pound
libre,free
libro,book
líder,leader
ligar,tie
lijar,sand
limar,file down
lince,lynx
linde,boundary
lindo,pretty
línea,line
listo,smart
llama,flame
llano,flat
llave,key
llega,you arrive
lleno,full
llora,you cry
local,local
logra,you are able to
logro,achievement
lonja,slice
luces,lights
lucha,fight
lucir,shine
luego,then
lugar,place
lunar,mole
luzca,you shine
macha,clam
macho,male
madre,mother
magia,magic
magno,great
magro,lean
majar,crush
malla,mesh
malva,mauve
mamar,suckle
mamut,mammoth
manar,flow
mango,mango
manso,tame
manta,blanket
manto,cloak
mapas,map
marca,mark
marco,frame
marea,tide
mareo,nausea
marzo,March
matar,kill
mates,math
matiz,nuance
matón,thug
mayor,bigger
mecer,rock
mecha,wick
medio,half
medir,measure
mejor,better
memez,stupid thing
menea,you shake
meneo,jerk
menor,younger
menos,less
mente,mind
merma,decrease
mesas,tables
meses,months
meson,tavern
metal,metal
metas,goals
meter,put
metro,meter
miedo,fear
migas,crumbs
miles,thousands
mimar,pamper
mimos,cuddles
minar,mine
mirar,look at
mirlo,blackbird
mirón,nosy
mismo,same
mitad,half
mitin,rally
mitón,fingerless glove
mixto,mixed
modos,manners
mojar,get wet
mojón,milestone
molar,molar
molde,mold
moler,grind
momia,mummy
monja,nun
monje,monk
monos,monkeys
monte,hill
monto,amount
moral,morality
morar,dwell
morbo,morbid fascination
morir,die
morro,snout
mosca,fly
motes,nicknames
motín,mutiny
motor,motor
motos,motorcycles
mover,move
móvil,cellphone
mucho,a lot of
mudar,change
mueca,face
muela,molar
muere,you die
mugir,moo
mugre,filth
mujer,woman
multa,fine
mundo,world
muñir,summon
mural,mural
murar,wall
musgo,moss
muslo,thigh
mutar,mutate
mutuo,mutual
nacer,be born
nadar,swim
nadie,no one
naipe,playing card
nalga,buttock
ñandu,rhea
napia,schnoz
nariz,nose
natal,native
naval,naval
naves,ship
necio,foolish
negar,deny
negro,black
neura,obsession
nevar,snow
nicho,niche
niega,you deny
nieto,grandson
nieve,snow
nimio,trivial
niñez,childhood
ninfa,nymph
niños,children
nivel,level
níveo,snow-white
noble,noble
noche,night
ñoños,dull
noria,Ferris wheel
norma,rule
norte,north
notar,notice
notas,notes
novel,new
novia,girlfriend
novio,boyfriend
nubes,clouds
nuera,daughter-in-law
nuevo,new
nunca,never
oasis,oasis
oblea,wafer
obrar,act
obras,work
obvio,obvious
ocaso,sunset
odiar,hate
oeste,west
ogros,ogres
oírse,sound
ojalá,hopefully
ojear,have a look at
ojera,bag under one’s eyes
ojota,sandal
oliva,olive
ollar,nostril
ollas,pots
omiso,negligent
ondas,ripples
opaco,opaque
ópalo,opal
opina,you think
optar,opt for
orden,order
orear,air
oreja,ear
orina,urine
orlar,edge
ornar,adorn
oruga,caterpillar
ostra,oyster
otear,scan
otero,hillock
otoño,fall
oveja,sheep
oxear,shoo away
ozono,ozone
pacas,bales
pacer,graze
pacto,pact
padre,father
pagar,pay
palas,shovels
palco,box
palma,palm
pampa,pampas
pañal,diaper
panda,panda
panel,panel
panza,belly
papel,paper
parar,stop
parca,Grim Reaper
parce,dude
parco,frugal
pardo,brownish-gray
parir,give birth
parón,sudden stop
parra,climbing vine
parto,birth
parvo,small
pasar,pass
paseo,walk
pasmo,shock
pasta,pasta
pasto,pasture
patán,uncouth
patín,skate
patio,patio
pausa,pause
pauta,norm
pavor,dread
peaje,toll
peana,base
pecar,sin
peces,fish
pecho,chest
pedir,ask for
pegar,hit
peine,comb
pelar,peel
pelea,fight
pelma,annoying
pelos,hair
penal,penal
penar,punish
peñón,rock
peras,pears
perol,saucepan
perro,dog
pesar,weigh
pesca,fishing
pesos,weights
peste,plague
petos,bibs
pezón,nipple
piano,piano
piara,herd
picar,sting
picos,beaks
pieza,piece
pifia,blunder
pijos,rich kids
pilar,pillar
pillo,naughty
pilón,pillar
piñón,pine nut
pinta,spot
pinto,spotted
piola,string
pique,grudge
pisar,step on
pisos,floors
pista,road
pitar,hiss at
pitón,python
pizca,pinch
placa,plate
plaga,plague
plano,flat
plata,silver
plato,plate
playa,beach
plaza,square
plazo,term
pleno,full
plomo,lead
pluma,feather
pobre,poor
pocho,faded
pocos,little
podar,prune
poder,be able to
podio,podium
poema,poem
poeta,poet
polar,polar
pollo,chicken
polvo,dust
pomar,apple orchard
pompa,pomp
poner,put
porra,club
posar,put down
poste,post
potar,puke
potra,filly
potro,colt
prado,meadow
presa,prey
preso,prisoner
prima,cousin
primo,cousin
prisa,rush
profe,teacher
prole,offspring
prosa,prose
pudor,modesty
pujar,struggle
pulir,polish
pulpa,pulp
pulso,pulse
puñal,dagger
puños,fists
punto,period
puyar,jab
puzle,jigsaw puzzle
quedo,quiet
queja,complaint
quema,burning
quien,who
quizá,maybe
rabia,anger
racha,streak
rajar,crack
ramal,branch
rampa,ramp
rango,rank
rapar,shave
rapaz,predatory
rasar,skim
rasgo,feature
ratón,mouse
rayar,scratch
razón,reason
recio,tough
recto,straight
regar,water
regio,royal
regir,govern
regla,ruler
rehén,hostage
reina,queen
reino,kingdom
remar,row
rengo,lame
reñir,tell off
renta,income
retar,challenge
revés,back
rezar,pray
riada,flood
riego,irrigation
rifar,raffle
rimar,rhyme
risco,crag
ritmo,rhythm
rival,rival
rizar,curl
robar,steal
rocín,nag
rocío,dew
rodar,roll
rogar,beg
rolar,veer
rollo,roll
rompe,you break
ronco,hoarse
ronda,round
rorro,baby
rosca,thread
rotar,rotate
rozar,brush against
rubia,blonde
rubor,blush
rubro,heading
rueda,wheel
rugir,roar
ruido,noise
ruina,ruin
rular,go around
rumbo,course
rumor,rumor
rural,rural
saber,know
sabio,wise
sable,saber
sabor,flavor
sacar,take out
sacro,sacred
salar,salt
salas,living rooms
saldo,balance
salir,go out
salón,living room
salsa,sauce
salto,jump
salud,health
salvo,safe
sanar,cure
sanos,healthy
santo,saint
sapos,toads
sarao,soirée
satén,satin
savia,sap
sazón,seasoning
secar,dry
secta,sect
según,according to
sello,stamp
selva,jungle
señal,sign
señas,address
senda,path
señor,man
seres,beings
serie,series
serio,serious
sesgo,bias
sesos,brains
siete,seven
siglo,century
signo,sign
silbo,whistle
silla,chair
símil,simile
simio,ape
sismo,earthquake
sitio,place
sobar,handle
sobra,excess
sobre,on
socio,partner
solar,solar
soler,use to
somos,we are
sonar,ring
soñar,dream
sopla,you blow
soplo,blow
sopor,drowsiness
sorbo,sip
sorna,sarcasm
suave,smooth
subir,go up
sucio,dirty
sudar,sweat
sudor,sweat
suela,sole
suelo,ground
sueño,dream
suero,serum
sufre,you suffer
sumar,add
sumir,plunge
súper,premium
susto,scare
sutil,subtle
tabla,board
tacha,blemish
tacho,trash can
tacón,heel
tacto,touch
tajar,chop
talar,cut down
talco,talc
talla,size
talle,waist
tallo,stem
talón,heel
tañer,strum
tanto,so much
tapar,cover
tapia,wall
tapiz,tapestry
tapón,stopper
tarde,late
tarea,homework
tarro,jar
tarta,pie
tasar,value
tasca,bar
tebeo,comic
techo,roof
tedio,tedium
tejas,tiles
tejer,knit
telar,loom
telón,curtain
temas,subjects
temer,fear
temor,fear
tenaz,tenacious
tener,have
teñir,dye
tenis,tennis
tenor,tenor
tenso,taut
tenue,faint
terco,stubborn
terso,smooth
tesar,tauten
tesón,tenacity
testa,head
texto,text
tibio,lukewarm
tieso,stiff
tifón,typhoon
tilde,accent
timar,swindle
timón,rudder
tinta,ink
tinte,dye
tique,ticket
tirar,throw
tirón,pull
titán,titan
tizne,soot
tocar,touch
tocho,heap
toldo,awning
tomar,take
tonel,barrel
tonto,stupid
topar,run into
toque,touch
tórax,thorax
torca,sinkhole
toril,bullpen
torna,return
torpe,clumsy
torre,tower
torso,torso
torta,cake
tosco,crude
total,complete
traba,obstacle
traer,bring
trago,drink
traje,suit
trama,plot
tramo,stretch
trapo,rag
trata,human trafficking
trato,deal
trazo,stroke
trena,slammer
treta,trick
tribu,tribe
trigo,wheat
trino,trill
tripa,intestine
triza,piece
troje,granary
trola,lie
trono,throne
tropa,troop
trota,jog
trote,trot
trova,ballad
trozo,piece
truco,trick
tumba,grave
tumbo,jolt
tunda,beating
túnel,tunnel
tupir,compact
turba,peat
turbo,turbo
turno,turn
tutor,tutor
ubica,you locate
ubres,udders
ufano,proud
ungir,put ointment on
unido,united
unión,union
untar,spread
urgir,urge
urnas,polls
usado,used
usted,you
usual,usual
útero,womb
úvula,uvula
vacar,cease work
vacío,empty
vagar,wander
vagón,car
vaina,thing
valer,be worth
valla,fence
valle,valley
valor,value
vamos,let’s go
vapor,steam
varón,male
vasar,hutch
vasco,Basque
vasto,vast
váter,toilet
vedar,ban
vejar,humiliate
vejez,old age
velar,keep vigil over
vello,hair
veloz,fast
venda,bandage
vende,you sell
venir,come
venta,sale
veraz,truthful
verbo,verb
verde,green
verja,iron gate
verse,see oneself
verso,verse
vetar,veto
viaja,you travel
viaje,trip
vicio,vice
video,video
viejo,old
vigor,vigor
villa,villa
viñas,vineyards
virus,virus
visar,visa
visor,viewfinder
vista,view
vital,vital
vivar,warren
vivaz,lively
vivir,live
voceo,shouting
voces,voices
volar,fly
voraz,voracious
votar,vote
votos,wishes
vuele,you fly
vuelo,flight
wafle,waffle
wáter,toilet
xénon,xenon
xiote,corn smut (botanical disease)
xolos,Mexican hairless dogs
yacer,lie
yanta,you eat
yates,yachts
yayos,grandma and grandpa
yegua,mare
yelmo,helm
yermo,uninhabited
yerno,son-in-law
yerro,error
yesca,tinder
yogur,yogurt
yunta,yoke
zafar,untie
zafio,coarse
zambo,knock-kneed
zampo,I wolf down
zanca,leg
zanco,stilt
zanja,ditch
zarco,light blue
zarpa,claw
zarza,blackberry bush
zoclo,clog
zonas,areas
zorro,fox
zueco,clog
zuñir,buzz
zurdo,left-handed person
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,